iri,caseNumber,date,ecli,chamber
estleg:RK_2_18_18932_28,2-18-18932/28,2020-04-14,ECLI:EE:RK:2020:2.18.18932.28,Tsiviilkolleegium
estleg:RK_2_18_19202_90,2-18-19202/90,2020-06-17,ECLI:EE:RK:2020:2.18.19202.90,
estleg:RK_2_18_19295_30,2-18-19295/30,2020-04-29,ECLI:EE:RK:2020:2.18.19295.30,Tsiviilkolleegium
estleg:RK_2_18_255_53,2-18-255/53,2020-04-29,ECLI:EE:RK:2020:2.18.255.53,Tsiviilkolleegium
estleg:RK_2_18_3445_46,2-18-3445/46,2020-03-18,ECLI:EE:RK:2020:2.18.3445.46,Tsiviilkolleegium
estleg:RK_2_18_3761_70,2-18-3761/70,2020-04-06,ECLI:EE:RK:2020:2.18.3761.70,Tsiviilkolleegium
estleg:RK_2_18_4090_24,2-18-4090/24,2020-03-11,ECLI:EE:RK:2020:2.18.4090.24,Tsiviilkolleegium
estleg:RK_2_18_5263_29,2-18-5263/29,2020-01-22,ECLI:EE:RK:2020:2.18.5263.29,
estleg:RK_2_18_6499_63,2-18-6499/63,2020-06-19,ECLI:EE:RK:2020:2.18.6499.63,Tsiviilkolleegium
estleg:RK_2_18_6908_47,2-18-6908/47,2020-05-20,ECLI:EE:RK:2020:2.18.6908.47,Tsiviilkolleegium
estleg:RK_2_18_7073_35,2-18-7073/35,2020-12-17,ECLI:EE:RK:2020:2.18.7073.35,Tsiviilkolleegium
estleg:RK_2_18_7550_80,2-18-7550/80,2020-05-27,ECLI:EE:RK:2020:2.18.7550.80,Tsiviilkolleegium
estleg:RK_2_18_7821_71,2-18-7821/71,2020-06-15,ECLI:EE:RK:2020:2.18.7821.71,Tsiviilkolleegium
estleg:RK_2_18_7948_81,2-18-7948/81,2020-06-17,ECLI:EE:RK:2020:2.18.7948.81,Tsiviilkolleegium
estleg:RK_2_18_8886_64,2-18-8886/64,2020-02-05,ECLI:EE:RK:2020:2.18.8886.64,Tsiviilkolleegium
